Low,Mid,High,LowPercent,MidPercent,HighPercent,LowAverage,MidAverage,HighAverage,MaxWealth,MinWealth,Gini
165,68,17,0.66,0.272,0.068,126.18345,373.29236,255.52693,775.7757,11.0,50.31143460070599
165,67,18,0.66,0.268,0.072,128.22723,370.79095,260.79788,772.7757,5.0,49.71823127047538
167,67,16,0.668,0.268,0.064,131.11212,376.06744,254.47963,781.1858,7.0,49.25003228847344
165,69,16,0.66,0.276,0.064,131.42133,374.1292,252.73804,789.0613,13.0,49.072092539339785
165,69,16,0.66,0.276,0.064,129.68588,375.1719,259.23532,796.8949,5.0,49.93160377893219
173,66,11,0.692,0.264,0.044,133.35542,388.45264,244.97653,841.8949,4.8,50.08425763362175
174,64,12,0.696,0.256,0.048,136.41872,389.88657,246.18475,850.29956,7.1623993,49.713192633615115
178,62,10,0.712,0.248,0.04,136.70721,395.86273,245.9966,856.69257,4.0,49.9133542534255
179,60,11,0.716,0.24,0.044,141.14735,402.46487,251.64133,860.42426,6.0,49.317263089295004
180,57,13,0.72,0.228,0.052,143.10486,397.7395,249.03378,860.8565,4.0,49.22413074847281
180,59,11,0.72,0.236,0.044,139.88054,395.34836,239.34592,864.53265,2.0,49.36734743318083
182,56,12,0.728,0.224,0.048,143.1416,397.32135,247.03114,870.6918,4.0,49.06434861371235
183,55,12,0.732,0.22,0.048,147.48761,400.81473,254.60086,881.6425,11.0,48.06222237901239
190,50,10,0.76,0.2,0.04,151.72708,413.84793,256.40475,903.6425,14.829498,48.06958964426304
189,50,11,0.756,0.2,0.044,157.58128,414.6009,264.46033,914.48773,15.15975,46.77326511754655
190,52,8,0.76,0.208,0.032,162.37,429.29684,271.21664,927.6016,15.000738,45.96969951721258
191,51,8,0.764,0.204,0.032,166.56134,431.52054,274.3959,938.62115,15.523636,45.070957589778125
190,53,7,0.76,0.212,0.028,169.29865,435.29245,272.2019,945.6795,16.64098,44.37094275059645
192,51,7,0.768,0.204,0.028,168.05943,435.15875,266.4525,949.32416,9.0,45.13137813280628
193,49,8,0.772,0.196,0.032,168.59244,437.6892,274.59235,952.8134,9.0,45.63092060135387
194,48,8,0.776,0.192,0.032,167.63797,437.81235,260.6574,959.35205,9.0,46.08364447992063
195,47,8,0.78,0.188,0.032,170.237,446.80527,264.24374,961.35205,9.026471,46.3026887660235
198,45,7,0.792,0.18,0.028,169.01248,440.64658,260.55826,963.35205,6.026471,46.404521592456156
197,46,7,0.788,0.184,0.028,165.203,435.76077,259.62054,965.35205,3.0264711,47.321710330226786
196,48,6,0.784,0.192,0.024,168.68085,438.3055,258.11954,967.35205,0.026471138,46.031407831969524
197,47,6,0.788,0.188,0.024,163.98807,437.7139,249.84706,974.93475,5.0,47.28767426607374
193,52,5,0.772,0.208,0.02,163.4703,435.8731,253.41017,985.5888,3.0,47.21389155311409
195,51,4,0.78,0.204,0.016,166.8324,448.15118,254.84055,997.6167,7.0,47.02633865896497
153,78,19,0.612,0.312,0.076,130.03287,338.43713,242.70212,740.0062,6.0,46.69761572892458
155,77,18,0.62,0.308,0.072,132.2442,348.03522,248.05855,765.0062,5.0,46.95633821428783
154,78,18,0.616,0.312,0.072,134.10527,351.6167,255.91585,772.38544,2.3333335,46.59162154719889
